variable,x,y
Surface.Temperature.Max,33.98099150657654,0.9997166395187378
Surface.Temperature.Max,34.068471500396726,0.9997860789299011
Surface.Temperature.Max,34.15595149421692,0.9998400211334229
Surface.Temperature.Max,34.24343148803711,0.9998815655708313
Surface.Temperature.Max,34.3309114818573,0.999913215637207
Surface.Temperature.Max,34.41839147567749,0.999937117099762
Surface.Temperature.Max,34.50587146949768,0.999954879283905
Surface.Temperature.Max,34.59335146331787,0.9999680519104004
Surface.Temperature.Max,34.68083145713806,0.9999775886535645
Surface.Temperature.Max,34.76831145095825,0.999975860118866
